index,DOI,SMILES
30,10.1039/c4tc02931c,CCCC[C@H](Cn1c2ccc(cc2c2c1cccc2)c1nsnc(c1=O)c1ccc2c(c1)c1ccccc1n2C[C@H](CCCC)CC)CC
31,10.1039/c4tc02931c,CCCC[C@H](Cn1c2ccc(cc2c2c1cccc2)c1ccc(s1)c1nsnc(c1=O)c1ccc(s1)c1ccc2c(c1)c1ccccc1n2C[C@H](CCCC)CC)CC
32,10.1016/j.dyepig.2019.03.050,CCCC[C@H](Cc1cc(sc1c1ccc(s1)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1ccc(s1)/C=C\1/SC(N(C1=O)CC)[C](C#N)C#N)C[C@@H](CCCC)CC)CC
33,10.1039/c4tc02931c,CCCC[C@H](Cn1c2ccc(cc2c2c1cccc2)c1ccc(s1)c1ccc(s1)c1nsnc(c1=O)c1ccc(s1)c1ccc(s1)c1ccc2c(c1)c1ccccc1n2C[C@H](CCCC)CC)CC
34,10.1016/j.synthmet.2019.03.023,CCCCCCCCOc1c2[S]=C(Cc2c(c2c1cc(s2)c1sc(cc1CCCCCC)c1c(F)c(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC)OCCCCCCCC)c1sc(cc1CCCCCC)c1c(F)c(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC
35,10.1016/j.synthmet.2019.03.023,CCCCCCCCOc1c2[S]=C(Cc2c(c2c1cc(s2)c1sc(cc1CCCCCC)c1cc(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC)OCCCCCCCC)c1sc(cc1CCCCCC)c1cc(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC
36,10.1016/j.synthmet.2019.03.023,CCCCCCCCOc1c2[S]=C(Cc2c(c2c1cc(s2)c1sc(cc1CCCCCC)c1ccc(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC)OCCCCCCCC)c1sc(cc1CCCCCC)c1ccc(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC
37,10.1021/acs.jpcc.5b05239,CCCCCCCCc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C(\C(=O)OCCCCCCCC)/C#N)c1ccc(s1)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C(\C(=O)OCCCCCCCC)/C#N
38,10.1039/c5nj01860a,s1nc2c(n1)c(ccc2c1ccc(s1)c1ccc2c(c1)cccc2)c1ccc(s1)c1ccc2c(c1)cccc2
39,10.1039/c5nj01860a,s1nc2c(n1)c(ccc2c1ccc(s1)c1cc2c(s1)cccc2)c1ccc(s1)c1cc2c(s1)cccc2
40,10.1002/adma.201807842,CCCCCC[C@@H](Cc1ccc(s1)C1=C2CCC3N2[Zn@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3C#Cc2ccc(s2)c2n(C[C@@H](CCCC)CC)c(=O)c3c2c(=O)n(c3c2cccs2)C[C@@H](CCCC)CC)cc1)c1ccc(s1)C[C@H](CCCCCC)CCCC)C#Cc1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1cccs1)C[C@H](CCCC)CC)CCCC
41,10.1016/j.synthmet.2014.11.002,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(c2c1nsn2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C/c1ccc(c2c1nsn2)c1cc(c(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CCCCCCCCCCCC)c1ccccc1
42,10.1016/j.synthmet.2014.11.002,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(c2c1nsn2)/C=C/c1ccc(cc1)N(c1ccc(cc1)C=C(C#N)C#N)c1ccccc1
