index,SMILES,Fragments
40,CCCCCC[C@@H](Cc1ccc(s1)C1=C2CCC3N2[Zn@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3C#Cc2ccc(s2)c2n(C[C@@H](CCCC)CC)c(=O)c3c2c(=O)n(c3c2cccs2)C[C@@H](CCCC)CC)cc1)c1ccc(s1)C[C@H](CCCCCC)CCCC)C#Cc1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1cccs1)C[C@H](CCCC)CC)CCCC,
41,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(c2c1nsn2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C/c1ccc(c2c1nsn2)c1cc(c(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CCCCCCCCCCCC)c1ccccc1,
42,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(c2c1nsn2)/C=C/c1ccc(cc1)N(c1ccc(cc1)C=C(C#N)C#N)c1ccccc1,
43,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(c2c1nsn2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\c1ccc(cc1)N(=O)=O)/C#N)c1ccccc1,
44,CCCC[C@H](COc1c2sc(cc2c(c2c1cc(s2)c1ccc(c2c1nsn2)/C=C/N(c1ccc(cc1)/C=C(/c1ccc(cc1)N(=O)=O)\C#N)c1ccccc1)OC[C@H](CCCC)CC)c1ccc(c2c1nsn2)/C=C/N(c1ccc(cc1)/C=C(/c1ccc(cc1)N(=O)=O)\C#N)c1ccccc1)CC,
45,N#CC(=Cc1cnc(nc1)c1cc2c(s1)c1c(C2(Cc2ccccc2)Cc2ccccc2)cc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)C#N,
46,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC,
47,CCCCCCC[C@H](Cc1sc(c2c1C(=O)c1c(sc(c1C2=O)c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC)c1ccc(s1)c1sc2c(c1)c(c1ccc(s1)C[C@@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@H](CCCC)CC)cc(s1)c1ccc(s1)c1sc(c2c1C(=O)c1c(C2=O)c(sc1C[C@@H](CCCCCC)CCCC)C[C@H](CCCCCC)CCCC)c1ccc(s1)[CH]C1=[S]C(=S)N(C1=O)CC)C[C@H](CCCCCC)CCCC)CCCC,
48,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N,
49,CCCCCCCCc1cc(sc1c1cc(c(s1)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N,
50,CCCCCCCCc1cc(sc1c1cc(c(s1)c1cc(c(s1)c1cc(c(s1)c1cc(c(s1)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N)CCCCCCCC)CCCCCCCC)CCCCCCCC)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N,
51,CCCC[C@H](CN1C(=O)/C(=C/2\c3sc(cc3N(C2=O)C[C@@H](CCCC)CC)c2ccccc2)/c2c1cc(s2)c1ccccc1)CC,
52,CCCCC[C@H](CN1C(=O)/C(=C/2\c3sc(cc3N(C2=O)C[C@@H](CCCC)CC)c2ccc3c(c2)cccc3)/c2c1cc(s2)c1ccc2c(c1)cccc2)CC,
53,CCCC[C@H](CN1C(=O)/C(=C/2\c3sc(cc3N(C2=O)C[C@H](CCCC)CC)c2occ3c2cccc3)/c2c1cc(s2)c1occ2c1cccc2)CC,
54,c1csc(c1)/C=C/c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C/c1cccs1)c1ccc(cc1)c1ccc(s1)/C=C/c1cccs1,
56,CCN1C(=S)N(CC)C(=O)C(=Cc2ccc(s2)c2ccc(cc2)N(c2ccc(cc2)c2ccc(s2)C=C2C(=O)N(CC)C(=S)N(C2=O)CC)c2ccc(cc2)c2ccc(s2)C=C2C(=O)N(CC)C(=S)N(C2=O)CC)C1=O,
58,CCCC[C@H](COC(=O)/C(=C/c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)OC[C@@H](CCCC)CC)\C#N)c1ccc(cc1)c1ccc(s1)/C=C(/C(=O)OC[C@@H](CCCC)CC)\C#N)/C#N)CC,
60,CCCC[C@H](Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C/1\SC(=S)N(C1=O)CC(=O)OC[C@H](CCCC)CC)CCCCCCCC)c1ccc(s1)C[C@@H](CCCC)CC)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C/1\SC(=S)N(C1=O)CC(=O)OC[C@H](CCCC)CC)CCCCCCCC)CC,
61,CCCC[C@@H](Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)F)C[C@H](CCCC)CC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)F)C[C@H](CCCC)CC)CC,
62,CCCC[C@@H](Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)C(F)(F)F)C[C@H](CCCC)CC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)C(F)(F)F)C[C@H](CCCC)CC)CC,
63,CCCCCCc1ccc(cc1)C#Cc1c2ccccc2c(c2c1cc(cc2)c1ccc2c(c1)cccc2)C#Cc1ccc(cc1)CCCCCC,
64,CCCCCCc1ccc(cc1)C#Cc1c2ccccc2c(c2c1cc(cc2)c1ccc(s1)c1ccc2c(c1)cccc2)C#Cc1ccc(cc1)CCCCCC,
65,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc(s1)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc(cc1)c1ccccc1)C#N,
66,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1c(C)cc(cc1C)C)c(=O)n(c2c1ccc(s1)c1c(C)cc(cc1C)C)C[C@H](CCCC)CC)CC,
67,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1ccc(cc1C)OC(C)C)c(=O)n(c2c1ccc(s1)c1ccc(cc1C)OC(C)C)C[C@H](CCCC)CC)CC,
68,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1ccc(c(c1OC)OC)OC)c(=O)n(c2c1ccc(s1)c1ccc(c(c1OC)OC)OC)C[C@H](CCCC)CC)CC,
69,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)c(=O)n(c2c1ccc(s1)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)C[C@H](CCCC)CC)CC,
70,CCCCCCCCOc1cccc(c1C1=C2CCC3N2[Zn@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3C#Cc2sc(c(c2)CCCCCCCC)c2ccc(s2)c2sc(cc2CCCCCCCC)/C=C\2/SC(=S)N(C2=O)CC)cc1)c1c(OCCCCCCCC)cccc1OCCCCCCCC)C#Cc1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CC)OCCCCCCCC,
71,CCCC[C@H](Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)CC,
72,CCCC[C@H](COc1c2sc(cc2c(c2c1cc(s2)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)OC[C@H](CCCC)CC)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)CC,
73,N#CC(=Cc1ccc(s1)C#CC1=C2CCC3N2[Zn@@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3c2cc(cc(c2)C(C)(C)C)C(C)(C)C)cc1)C#Cc1ccc(s1)C=C(C#N)C#N)c1cc(cc(c1)C(C)(C)C)C(C)(C)C)C#N,
74,CCCCCCCCN1C(=S)[S]=C(C1=O)[CH]c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)c1sc2c(c1)c(c1ccc(s1)C[C@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@H](CCCC)CC)cc(s1)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)C[C@@H](CCCC)CC)CCCCCCCC)CCCCCCCC,
75,CCCCCCCCN1C(=O)S/C(=C\c2cc(c(s2)c2ccc(s2)c2sc(cc2CCCCCCCC)c2sc3c(c2)c(c2ccc(s2)C[C@H](CCCC)CC)c2c(c3c3ccc(s3)C[C@H](CCCC)CC)cc(s2)c2cc(c(s2)c2ccc(s2)c2sc(cc2CCCCCCCC)[CH]C2=[S]C(=O)N(C2=O)C[C@@H](CCCC)CC)CCCCCCCC)CCCCCCCC)/C1=O,
76,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)[CH]C1=[S]C(=S)N(C1=O)CC)c1sc2c(c1)c(OC[C@H](CCCC)CC)c1c(c2OC[C@H](CCCC)CC)cc(s1)c1sc2c(c1)C(c1c2sc(c1)/C=C/1\SC(=S)N(C1=O)CC)(CCCCCC)CCCCCC,
77,CCCC[C@@H](COc1c2sc(cc2c(c2c1cc(s2)c1cc2c(s1)c1c(C2(CCCCCC)CCCCCC)cc(s1)C=C(C#N)C#N)OC[C@H](CCCC)CC)c1cc2c(s1)c1c(C2(CCCCCC)CCCCCC)cc(s1)C=C(C#N)C#N)CC,
80,CCCCCC[C@@H](Cn1c(c2ccc(s2)c2ccc(s2)/C=C/c2ccc(s2)c2ccc(s2)c2n(C[C@H](CCCCCC)CCCC)c(=O)c3c2c(=O)n(c3c2cccs2)C[C@H](CCCCCC)CCCC)c2c(c1=O)c(n(c2=O)C[C@H](CCCCCC)CCCC)c1cccs1)CCCC,
81,CCCCCC[C@@H](Cn1c(c2ccc(s2)c2sc3c(c2)ccc2c3ccc3c2sc(c3)c2ccc(s2)c2n(C[C@H](CCCCCC)CCCC)c(=O)c3c2c(=O)n(c3c2cccs2)C[C@H](CCCCCC)CCCC)c2c(c1=O)c(n(c2=O)C[C@H](CCCCCC)CCCC)c1cccs1)CCCC,
82,CCCCCCCCOc1ccc(cc1)C1=C2CCC3N2[Zn@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3C#Cc2ccc(s2)c2n(C[C@@H](CCCC)CC)c(=O)c3c2c(=O)n(c3c2ccc(s2)C)C[C@@H](CCCC)CC)cc1)c1ccc(cc1)OCCCCCCCC)C#Cc1ccc(s1)c1n(C[C@@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)C)C[C@@H](CCCC)CC,
83,CCCC[C@H](Cn1c2cc(ccc2c2c1cc(cc2)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)C=C1C(=O)N(CC)C(=S)N(C1=O)CC)CCCCCCCC)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)C=C1C(=O)N(CC)C(=S)N(C1=O)CC)CCCCCCCC)CC,
84,CCCCCCc1ccc(s1)c1ccc(s1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)C1=[S]c2c(C1)c(c1ccc(s1)C[C@@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@H](CCCC)CC)cc(s1)c1ccc(s1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC,
86,CCCCCCc1ccc(s1)c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)C1=[S]c2c(C1)c(c1ccc(s1)C[C@@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@H](CCCC)CC)cc(s1)c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC,
88,CCCCCCc1csc(c1)c1ccc(c2c1nsn2)c1cc(c(s1)c1ccc(cc1)N(c1cccc(c1)c1sc(cc1CCCCCC)c1ccc(c2c1nsn2)c1scc(c1)CCCCCC)c1ccc(cc1)/C=C/C1=CC(=C(C#N)C#N)CC(C1)(C)C)CCCCCC,
89,CCCCCCCCC1(CCCCCCCC)c2cc(sc2c2c1cc(s2)c1ccc(s1)c1ccc(s1)C(=C(C#N)C#N)CCCCCC)c1ccc(s1)c1ccc(s1)C(=C(C#N)C#N)CCCCCC,
90,CCCCCCCC[Si]1(CCCCCCCC)c2cc(sc2c2c1cc(s2)c1ccc(s1)c1ccc(s1)C(=C(C#N)C#N)CCCCCC)c1ccc(s1)c1ccc(s1)C(=C(C#N)C#N)CCCCCC,
91,CCCCCCCC[Si]1(CCCCCCCC)c2cc(sc2c2c1cc(s2)c1ccc(s1)c1ccc(s1)c1ccc(s1)C(=C(C#N)C#N)CCCCCC)c1ccc(s1)c1ccc(s1)c1ccc(s1)C(=C(C#N)C#N)CCCCCC,
96,CCCC[C@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C/c1c(CC)c(c2n1[B](F)(F)n1c([C]2c2ccc(cc2)N(=O)=O)c(c(c1/C=C/c1ccc2c(c1)Sc1c(N2C[C@H](CCCC)CC)cccc1)CC)C)C)CC,
97,CCCCCCCC[C@H](Cn1nc2c(n1)c(c1ccc(s1)c1cc3c(s1)c(c1ccc(s1)C[C@H](CCCC)CC)c1c(c3c3ccc(s3)C[C@H](CCCC)CC)sc(c1)c1ccc(s1)c1c(F)c(F)c(c3c1nn(n3)C[C@@H](CCCCCCCC)CCCCCC)c1ccc(s1)/C=C(/C(=O)OC[C@@H](CCCC)CC)\C#N)c(c(c2c1ccc(s1)/C=C(/C(=O)OC[C@H](CCCC)CC)\C#N)F)F)CCCCCC,
98,CCCC[C@H](CN(c1cccc2c1cccc2)c1cc(O)c(c(c1)O)C1=C(O)C(=C1O)c1c(O)cc(cc1O)N(c1cccc2c1cccc2)C[C@H](CCCC)CC)CC,
99,CCCC[C@H](C[C](c1ccc2c(c1)C(C)(C)c1c2cccc1)c1cc(O)c(c(c1)O)[C]1C(=C(C1=O)c1c(O)cc(cc1O)N(c1ccc2c(c1)C(C)(C)c1c2cccc1)C[C@H](CCCC)CC)O)CC,
100,CCCC[C@@H](Cn1c(c2ccc(s2)C#Cc2c3ccccc3c(c3c2cccc3)C#Cc2ccc(s2)c2n(C[C@H](CCCC)CC)c(=O)c3c2c(=O)n(c3c2cccs2)C[C@H](CCCC)CC)c2c(c1=O)c(n(c2=O)C[C@H](CCCC)CC)c1cccs1)CC,
101,CCCCCCCC[C@H](Cn1c2cc(sc2c2c1cc(cc2)c1ccc(s1)c1cc2c(s1)c(c1ccc(s1)C[C@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@H](CCCC)CC)sc(c1)c1ccc(s1)c1ccc2c(c1)n(C[C@@H](CCCCCCCC)CCCCCC)c1c2sc(c1)c1ccc(s1)[CH]C1=[S]C(=S)N(C1=O)CC)c1ccc(s1)[CH]C1=[S]C(=S)N(C1=O)CC)CCCCCC,
